epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1729.61,1.56026,1.73486,1.58388,0.485,0.19865,0.12765,0.05498,1.98542,11.4225,2.57811,0.0670473,0.000332855,0.000332855
2,4075.46,1.60267,1.67648,1.66333,0.38623,0.30453,0.2442,0.12955,1.69279,4.18579,2.03891,0.0340418,0.000660692,0.000660692
3,5514.8,1.53472,1.55605,1.6166,0.52674,0.46776,0.42632,0.24324,1.3984,4.83466,1.72525,0.00103085,0.00098303,0.00098303
4,7272.04,1.47009,1.48664,1.57246,0.57061,0.45682,0.46573,0.26801,1.30862,4.71417,1.66509,0.00097525,0.00097525,0.00097525
5,8888.48,1.44099,1.40047,1.55216,0.76777,0.3596,0.47667,0.28427,1.28373,3.62894,1.62126,0.000967,0.000967,0.000967
6,10726.2,1.40593,1.32188,1.50796,0.54069,0.51703,0.52568,0.31657,1.2436,2.91131,1.55587,0.00095875,0.00095875,0.00095875
7,11707.5,1.37867,1.25105,1.49822,0.56822,0.51744,0.50124,0.30751,1.2469,2.74013,1.56406,0.0009505,0.0009505,0.0009505
8,12665,1.33939,1.22187,1.4755,0.64705,0.49566,0.55617,0.33717,1.23645,2.58161,1.56332,0.00094225,0.00094225,0.00094225
9,13763.2,1.33275,1.17131,1.46387,0.60042,0.55373,0.56071,0.34731,1.19837,2.07385,1.52876,0.000934,0.000934,0.000934
10,15353.2,1.31858,1.14359,1.45036,0.71085,0.58368,0.63295,0.39682,1.1469,2.22911,1.47868,0.00092575,0.00092575,0.00092575
11,16795.5,1.28606,1.13486,1.43378,0.70855,0.57803,0.62141,0.39701,1.16455,2.76773,1.494,0.0009175,0.0009175,0.0009175
12,17905.9,1.28667,1.09681,1.4289,0.74557,0.58359,0.64874,0.405,1.1732,2.07829,1.50317,0.00090925,0.00090925,0.00090925
13,19477,1.27214,1.07492,1.41823,0.72719,0.56341,0.62344,0.40458,1.12699,2.17047,1.47031,0.000901,0.000901,0.000901
14,20942.2,1.27185,1.06078,1.41416,0.74128,0.57412,0.63506,0.40859,1.12334,2.20878,1.45486,0.00089275,0.00089275,0.00089275
15,22096.4,1.24299,1.02424,1.39255,0.74838,0.61458,0.65389,0.43402,1.09498,1.76439,1.43035,0.0008845,0.0008845,0.0008845
16,24127,1.2347,1.02255,1.39261,0.74763,0.61578,0.6723,0.43996,1.08566,2.31948,1.43754,0.00087625,0.00087625,0.00087625
17,25631.1,1.23506,0.99994,1.37983,0.81346,0.59412,0.68169,0.45031,1.08386,1.82025,1.42279,0.000868,0.000868,0.000868
18,27442.8,1.2176,0.99778,1.38147,0.63347,0.62872,0.62429,0.41598,1.0801,2.0647,1.43539,0.00085975,0.00085975,0.00085975
19,29029.3,1.21792,0.97949,1.37679,0.83294,0.63889,0.69874,0.46706,1.0667,2.15117,1.40865,0.0008515,0.0008515,0.0008515
20,30481,1.20651,0.98222,1.36997,0.78558,0.62938,0.68774,0.47011,1.05057,1.78038,1.39019,0.00084325,0.00084325,0.00084325
21,31921.8,1.20249,0.96332,1.37455,0.7863,0.6268,0.70174,0.45742,1.08717,1.73341,1.42131,0.000835,0.000835,0.000835
22,33582.4,1.19311,0.94258,1.36282,0.7545,0.64379,0.70249,0.47581,1.06366,1.91132,1.39516,0.00082675,0.00082675,0.00082675
23,34987.6,1.19817,0.9365,1.35455,0.74918,0.64993,0.69056,0.46866,1.06419,2.05549,1.38,0.0008185,0.0008185,0.0008185
24,36596.1,1.1921,0.91356,1.35139,0.81623,0.6673,0.71731,0.48804,1.05386,1.91978,1.3704,0.00081025,0.00081025,0.00081025
25,37960.9,1.17417,0.91464,1.34808,0.84262,0.63295,0.71154,0.48558,1.06873,1.64055,1.41468,0.000802,0.000802,0.000802
26,39551.2,1.17459,0.8918,1.34648,0.80766,0.64229,0.69915,0.47223,1.05101,1.73986,1.38995,0.00079375,0.00079375,0.00079375
27,40557.1,1.15184,0.88789,1.33452,0.787,0.67713,0.72048,0.49156,1.05237,1.51266,1.38338,0.0007855,0.0007855,0.0007855
28,41690.5,1.15373,0.87448,1.32809,0.8205,0.64425,0.71372,0.49567,1.0359,1.28065,1.36879,0.00077725,0.00077725,0.00077725
29,43564.8,1.1485,0.86026,1.32784,0.81181,0.61901,0.69667,0.46547,1.04552,1.48126,1.35696,0.000769,0.000769,0.000769
30,44902.8,1.14749,0.86679,1.32683,0.79272,0.63635,0.70097,0.47405,1.01959,1.52565,1.3554,0.00076075,0.00076075,0.00076075
31,46435.3,1.14334,0.85587,1.31295,0.81798,0.64387,0.70928,0.47894,1.05438,1.53092,1.37238,0.0007525,0.0007525,0.0007525
32,47579.1,1.12442,0.84919,1.31263,0.84208,0.64428,0.73181,0.50576,1.0162,1.44543,1.347,0.00074425,0.00074425,0.00074425
33,48572.2,1.13037,0.82928,1.30851,0.79005,0.6442,0.73224,0.50047,1.02744,1.55714,1.35168,0.000736,0.000736,0.000736
34,49749,1.11411,0.81935,1.2989,0.76421,0.65363,0.72191,0.49829,1.01484,1.36061,1.3528,0.00072775,0.00072775,0.00072775
35,51108.5,1.1111,0.82573,1.30289,0.77004,0.66214,0.73554,0.50417,1.00969,2.02393,1.34844,0.0007195,0.0007195,0.0007195
36,52478,1.09812,0.80514,1.29579,0.85265,0.63788,0.72684,0.50114,1.02015,1.51081,1.35777,0.00071125,0.00071125,0.00071125
37,53869.8,1.1112,0.80427,1.29144,0.80917,0.65337,0.72631,0.49127,1.01565,1.61842,1.3552,0.000703,0.000703,0.000703
38,55547.4,1.10804,0.79467,1.29359,0.84391,0.65587,0.73653,0.50536,1.00946,1.2946,1.34457,0.00069475,0.00069475,0.00069475
39,57173.3,1.09998,0.79086,1.28498,0.84276,0.61782,0.72014,0.49648,1.02168,1.71768,1.35831,0.0006865,0.0006865,0.0006865
40,58684.2,1.10044,0.79103,1.28356,0.82002,0.6655,0.73812,0.5138,1.00626,1.42558,1.33522,0.00067825,0.00067825,0.00067825
41,59708.7,1.09794,0.78077,1.28332,0.85891,0.63367,0.73052,0.5113,1.00612,1.43143,1.34442,0.00067,0.00067,0.00067
42,61286.8,1.10018,0.76486,1.28144,0.85685,0.62192,0.7243,0.50927,1.0111,1.46339,1.35048,0.00066175,0.00066175,0.00066175
43,62382.6,1.08373,0.76239,1.28797,0.80392,0.67038,0.73283,0.51246,0.99782,1.47646,1.33451,0.0006535,0.0006535,0.0006535
44,64164,1.07589,0.76294,1.27216,0.83299,0.66817,0.74964,0.52654,0.97999,1.28783,1.32445,0.00064525,0.00064525,0.00064525
45,65858.3,1.05902,0.74539,1.25943,0.79213,0.65641,0.74807,0.53105,0.98734,1.38809,1.33177,0.000637,0.000637,0.000637
46,67242.5,1.05501,0.75308,1.26022,0.85015,0.65955,0.74694,0.52444,0.97811,1.50979,1.3184,0.00062875,0.00062875,0.00062875
47,68471,1.06207,0.7412,1.26339,0.82858,0.65749,0.75354,0.53536,0.98914,1.42804,1.32365,0.0006205,0.0006205,0.0006205
48,69839,1.06542,0.74817,1.26339,0.81588,0.66231,0.74437,0.52515,0.98354,1.63699,1.3146,0.00061225,0.00061225,0.00061225
49,71139.7,1.05158,0.72828,1.25965,0.83346,0.68793,0.74743,0.53215,0.98282,1.71024,1.31986,0.000604,0.000604,0.000604
50,72257.5,1.04488,0.71346,1.2479,0.82741,0.67401,0.74173,0.52536,0.97507,1.31269,1.31665,0.00059575,0.00059575,0.00059575
51,73450.9,1.04939,0.71683,1.2474,0.84087,0.67282,0.73951,0.51677,0.98344,1.52383,1.3219,0.0005875,0.0005875,0.0005875
52,74677.3,1.01158,0.7001,1.23425,0.84312,0.65073,0.74803,0.53218,0.97513,1.36503,1.31947,0.00057925,0.00057925,0.00057925
53,75932.9,1.04066,0.71806,1.24771,0.8112,0.69882,0.74294,0.52425,0.97599,1.36155,1.31373,0.000571,0.000571,0.000571
